,Register Page,JPEG number,Number,Letter,CertMonth,CertDay,CertYear,First name,Last name,Title,DueMonth,DueDay,DueYear,Dollars,90th,8th,DeliveryMonth,DeliveryDay,DeliveryYear,LS?,LSnote,Notes
264,10.0,120.0,256.0,B,9.0,9.0,1784.0,William,Arnold,,10.0,8,1780.0,8.0,10.0,1.0,7.0,19.0,1785.0,1.0,RO,
265,10.0,120.0,257.0,C,9.0,9.0,1784.0,John,Thurber,,8.0,15,1781.0,17.0,22.0,4.0,4.0,29.0,1785.0,1.0,RO,
266,10.0,120.0,258.0,L,9.0,9.0,1784.0,Daniel,Stillwell,,12.0,4,1781.0,26.0,,,11.0,12.0,1784.0,1.0,RO,
267,10.0,120.0,259.0,I,9.0,9.0,1784.0,Samuel,Westcott,,8.0,5,1780.0,14.0,32.0,2.0,12.0,1.0,1784.0,1.0,RO,
268,10.0,120.0,260.0,H,9.0,9.0,1784.0,Samuel,Westcott,,9.0,9,1780.0,31.0,62.0,4.0,12.0,1.0,1784.0,1.0,RO,
269,,,,,,,,,,,,,,13942.0,22.0,4.0,,,,,,
270,11.0,121.0,261.0,N,9.0,10.0,1784.0,Samuel,Westcott,,10.0,8,1780.0,11.0,30.0,,12.0,1.0,1784.0,1.0,RO,
271,11.0,121.0,262.0,R,9.0,10.0,1784.0,Samuel,Westcott,,9.0,20,1781.0,3.0,30.0,,12.0,1.0,1784.0,1.0,RO,
272,11.0,121.0,263.0,P,9.0,10.0,1784.0,Ebenezer,Thayer,,9.0,30,1780.0,116.0,30.0,3.0,10.0,25.0,1784.0,1.0,RO,
273,11.0,121.0,264.0,G,9.0,10.0,1784.0,Ebenezer,Thayer,,10.0,31,1780.0,60.0,25.0,,10.0,25.0,1784.0,1.0,RO,
274,11.0,121.0,265.0,C,9.0,10.0,1784.0,John,Jenkins,,12.0,21,1781.0,224.0,38.0,6.0,9.0,16.0,1784.0,1.0,RO,
275,11.0,121.0,266.0,D,9.0,10.0,1784.0,John,Whiting,,11.0,27,1779.0,72.0,78.0,6.0,9.0,9.0,1788.0,,,Del to Major C Hashell September 9th 1788
276,11.0,121.0,267.0,A,9.0,10.0,1784.0,Benjamin,Bourne,,4.0,16,1782.0,1.0,22.0,4.0,4.0,13.0,1785.0,1.0,LO 110.366,
277,11.0,121.0,268.0,B,9.0,10.0,1784.0,Benjamin,Bourne,,4.0,16,1782.0,1.0,22.0,4.0,4.0,13.0,1785.0,1.0,RO,
